s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.23015E+002, 2.74951E+001, 2.99700E+001, 2.50000E+001, 2.50000E+001, 2.50447E+001, 2.73376E+001, 2.87788E+001, 1.79816E-002, 2.04513E-001, 4.69567E+002
 1.24007E+002, 2.77523E+001, 3.02661E+001, 2.50000E+001, 2.50000E+001, 2.50445E+001, 2.72891E+001, 2.87393E+001, 1.79929E-002, 2.04503E-001, 4.70307E+002
 1.25021E+002, 2.72564E+001, 3.04906E+001, 2.50000E+001, 2.50000E+001, 2.50440E+001, 2.65704E+001, 2.85870E+001, 1.80076E-002, 2.04491E-001, 4.70838E+002
 1.26014E+002, 2.73482E+001, 2.98359E+001, 2.50000E+001, 2.50000E+001, 2.50445E+001, 2.71259E+001, 2.83349E+001, 1.80023E-002, 2.04466E-001, 4.71276E+002
 1.27003E+002, 2.71527E+001, 2.95611E+001, 2.50000E+001, 2.50000E+001, 2.50462E+001, 2.78044E+001, 2.85947E+001, 1.80212E-002, 2.04480E-001, 4.71690E+002
 1.28006E+002, 2.69607E+001, 2.95773E+001, 2.50000E+001, 2.50000E+001, 2.50491E+001, 2.78786E+001, 2.85836E+001, 1.79865E-002, 2.04512E-001, 4.72094E+002
 1.29010E+002, 2.67604E+001, 2.99770E+001, 2.50000E+001, 2.50000E+001, 2.50511E+001, 2.77021E+001, 2.86890E+001, 1.79940E-002, 2.04492E-001, 4.72450E+002
 1.30014E+002, 2.65342E+001, 3.02124E+001, 2.50000E+001, 2.50000E+001, 2.50517E+001, 2.76226E+001, 2.81588E+001, 1.79956E-002, 2.04466E-001, 4.72834E+002
 1.31006E+002, 2.64641E+001, 3.04507E+001, 2.50000E+001, 2.50000E+001, 2.50496E+001, 2.79137E+001, 2.82562E+001, 1.79868E-002, 2.04454E-001, 4.73387E+002
 1.32002E+002, 2.65587E+001, 3.05915E+001, 2.50000E+001, 2.50000E+001, 2.50506E+001, 2.83277E+001, 2.84718E+001, 1.80036E-002, 2.04413E-001, 4.74200E+002
 1.33005E+002, 2.66916E+001, 3.02642E+001, 2.50000E+001, 2.50000E+001, 2.50552E+001, 2.79102E+001, 2.85941E+001, 1.79975E-002, 2.04376E-001, 4.75328E+002
 1.34011E+002, 2.71571E+001, 2.98454E+001, 2.50000E+001, 2.50000E+001, 2.50673E+001, 2.74818E+001, 2.90913E+001, 1.79922E-002, 2.04362E-001, 4.76563E+002
 1.35017E+002, 2.74410E+001, 2.97733E+001, 2.50000E+001, 2.50000E+001, 2.50734E+001, 2.73292E+001, 2.89295E+001, 1.80052E-002, 2.04349E-001, 4.77681E+002
 1.36003E+002, 2.72925E+001, 2.99958E+001, 2.50000E+001, 2.50000E+001, 2.50615E+001, 2.67038E+001, 2.86840E+001, 1.80028E-002, 2.04322E-001, 4.78847E+002
 1.37008E+002, 2.73122E+001, 3.01443E+001, 2.50000E+001, 2.50000E+001, 2.50565E+001, 2.67983E+001, 2.89374E+001, 1.80074E-002, 2.04298E-001, 4.80066E+002
