s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 7.60146E+001, 2.60531E+001, 2.82662E+001, 3.98626E+001, 3.05723E+001, 2.50407E+001, 2.63510E+001, 2.76740E+001, 1.79934E-002, 2.05414E-001, 3.39671E+002
 7.70021E+001, 2.59448E+001, 2.85055E+001, 3.93141E+001, 2.99762E+001, 2.50405E+001, 2.62342E+001, 2.73497E+001, 1.79986E-002, 2.05363E-001, 3.40826E+002
 7.80045E+001, 2.59597E+001, 2.85099E+001, 3.92382E+001, 2.99540E+001, 2.50399E+001, 2.62930E+001, 2.72558E+001, 1.79995E-002, 2.05325E-001, 3.41960E+002
 7.90069E+001, 2.59696E+001, 2.85878E+001, 3.90476E+001, 2.99477E+001, 2.50388E+001, 2.56255E+001, 2.74123E+001, 1.79982E-002, 2.05304E-001, 3.43119E+002
 8.00093E+001, 2.59661E+001, 2.84990E+001, 3.85885E+001, 3.02850E+001, 2.50376E+001, 2.53816E+001, 2.75290E+001, 1.80008E-002, 2.05297E-001, 3.44241E+002
 8.10117E+001, 2.59436E+001, 2.86010E+001, 3.85033E+001, 3.03737E+001, 2.50368E+001, 2.53531E+001, 2.82103E+001, 1.79998E-002, 2.05259E-001, 3.45383E+002
 8.20141E+001, 2.58704E+001, 2.89537E+001, 3.89202E+001, 3.01461E+001, 2.50359E+001, 2.60095E+001, 2.77340E+001, 1.80007E-002, 2.05187E-001, 3.46528E+002
 8.30015E+001, 2.59129E+001, 2.89883E+001, 3.85201E+001, 2.99561E+001, 2.50353E+001, 2.64633E+001, 2.73542E+001, 1.80016E-002, 2.05178E-001, 3.47639E+002
 8.40040E+001, 2.58768E+001, 2.90676E+001, 3.86575E+001, 3.01175E+001, 2.50347E+001, 2.63625E+001, 2.74519E+001, 1.79992E-002, 2.05200E-001, 3.48823E+002
 8.50064E+001, 2.58778E+001, 2.87130E+001, 3.88523E+001, 3.01756E+001, 2.50341E+001, 2.57428E+001, 2.76295E+001, 1.80013E-002, 2.05173E-001, 3.50078E+002
 8.60088E+001, 2.58517E+001, 2.85275E+001, 3.89205E+001, 3.06010E+001, 2.50330E+001, 2.57534E+001, 2.75620E+001, 1.80001E-002, 2.05143E-001, 3.51332E+002
 8.70112E+001, 2.58207E+001, 2.87008E+001, 3.86194E+001, 3.05936E+001, 2.50323E+001, 2.56103E+001, 2.77030E+001, 1.79979E-002, 2.05193E-001, 3.52623E+002
 8.80136E+001, 2.58154E+001, 2.92773E+001, 3.89080E+001, 3.05050E+001, 2.50323E+001, 2.57741E+001, 2.79651E+001, 1.80035E-002, 2.05219E-001, 3.53887E+002
 8.90026E+001, 2.58550E+001, 2.95847E+001, 3.89365E+001, 3.06246E+001, 2.50324E+001, 2.61010E+001, 2.69441E+001, 1.80030E-002, 2.05074E-001, 3.55117E+002
 9.00045E+001, 2.59419E+001, 2.90899E+001, 3.95758E+001, 3.04231E+001, 2.50327E+001, 2.61034E+001, 2.71879E+001, 1.79978E-002, 2.05063E-001, 3.56172E+002
 9.10063E+001, 2.58805E+001, 2.89479E+001, 3.91040E+001, 3.06486E+001, 2.50336E+001, 2.61399E+001, 2.77199E+001, 1.80015E-002, 2.05098E-001, 3.57136E+002
 9.20081E+001, 2.58792E+001, 2.91742E+001, 3.94153E+001, 3.02855E+001, 2.50354E+001, 2.56927E+001, 2.80427E+001, 1.79989E-002, 2.05106E-001, 3.58171E+002
 9.30099E+001, 2.59203E+001, 2.90514E+001, 3.96796E+001, 2.98142E+001, 2.50372E+001, 2.53212E+001, 2.75591E+001, 1.80006E-002, 2.05126E-001, 3.59020E+002
 9.40118E+001, 2.59006E+001, 2.88058E+001, 3.91758E+001, 3.06213E+001, 2.50384E+001, 2.52805E+001, 2.77306E+001, 1.79996E-002, 2.05042E-001, 3.59800E+002
 9.50136E+001, 2.58480E+001, 2.86622E+001, 4.00421E+001, 3.04741E+001, 2.50384E+001, 2.53344E+001, 2.80177E+001, 1.80021E-002, 2.05012E-001, 3.60665E+002
 9.60009E+001, 2.58849E+001, 2.88837E+001, 3.98327E+001, 2.98281E+001, 2.50381E+001, 2.55438E+001, 2.79489E+001, 1.80005E-002, 2.05035E-001, 3.61558E+002
 9.70027E+001, 2.59227E+001, 2.90580E+001, 3.96743E+001, 3.00120E+001, 2.50378E+001, 2.55925E+001, 2.78499E+001, 1.80006E-002, 2.05033E-001, 3.62516E+002
 9.80045E+001, 2.60278E+001, 2.91981E+001, 3.94730E+001, 3.03603E+001, 2.50377E+001, 2.55572E+001, 2.76641E+001, 1.79986E-002, 2.04988E-001, 3.63278E+002
 9.90063E+001, 2.60615E+001, 2.95536E+001, 4.00745E+001, 3.00194E+001, 2.50381E+001, 2.56561E+001, 2.77128E+001, 1.79999E-002, 2.04964E-001, 3.63796E+002
 1.00008E+002, 2.61255E+001, 2.92881E+001, 4.01479E+001, 3.01127E+001, 2.50385E+001, 2.57765E+001, 2.80496E+001, 1.79987E-002, 2.05015E-001, 3.64120E+002
 1.01010E+002, 2.61868E+001, 2.87989E+001, 3.96573E+001, 3.05348E+001, 2.50386E+001, 2.55514E+001, 2.81338E+001, 1.80000E-002, 2.04962E-001, 3.64371E+002
 1.02012E+002, 2.61347E+001, 2.86729E+001, 3.98797E+001, 3.07025E+001, 2.50383E+001, 2.55826E+001, 2.79396E+001, 1.80012E-002, 2.04855E-001, 3.64676E+002
 1.03014E+002, 2.61226E+001, 2.86174E+001, 3.96249E+001, 3.03432E+001, 2.50380E+001, 2.58080E+001, 2.72940E+001, 1.80003E-002, 2.04910E-001, 3.64938E+002
 1.04001E+002, 2.60515E+001, 2.86971E+001, 4.03236E+001, 3.05041E+001, 2.50373E+001, 2.57485E+001, 2.75648E+001, 1.80003E-002, 2.04933E-001, 3.65195E+002
 1.05003E+002, 2.59964E+001, 2.88102E+001, 4.02643E+001, 3.07786E+001, 2.50362E+001, 2.58206E+001, 2.79922E+001, 1.79978E-002, 2.04860E-001, 3.65402E+002
 1.06005E+002, 2.60290E+001, 2.86427E+001, 3.98309E+001, 3.09307E+001, 2.50351E+001, 2.56475E+001, 2.76910E+001, 1.80000E-002, 2.04851E-001, 3.65610E+002
 1.07006E+002, 2.60582E+001, 2.86310E+001, 3.95009E+001, 3.07709E+001, 2.50337E+001, 2.53409E+001, 2.76198E+001, 1.79992E-002, 2.04861E-001, 3.65784E+002
 1.08008E+002, 2.60342E+001, 2.85850E+001, 4.00374E+001, 3.02871E+001, 2.50328E+001, 2.53139E+001, 2.81760E+001, 1.80006E-002, 2.04915E-001, 3.66034E+002
 1.09010E+002, 2.60645E+001, 2.85733E+001, 3.93844E+001, 3.04448E+001, 2.50329E+001, 2.53050E+001, 2.80733E+001, 1.80003E-002, 2.04921E-001, 3.66413E+002
 1.10012E+002, 2.60607E+001, 2.86792E+001, 4.02284E+001, 3.04515E+001, 2.50338E+001, 2.53681E+001, 2.80957E+001, 1.79993E-002, 2.04883E-001, 3.66828E+002
 1.11014E+002, 2.60887E+001, 2.88947E+001, 3.98835E+001, 3.05548E+001, 2.50349E+001, 2.54949E+001, 2.81254E+001, 1.80012E-002, 2.04916E-001, 3.67172E+002
 1.12001E+002, 2.61380E+001, 2.87090E+001, 4.05266E+001, 3.06047E+001, 2.50363E+001, 2.55402E+001, 2.80175E+001, 1.80013E-002, 2.04880E-001, 3.67616E+002
