s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,kg/s,Pa
Time,HRR,HRR_OX,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PARAFFIN,MLR_PRODUCTS,MLR_TRACER,ZONE_1
 3.19001E+002, 1.79952E-002, 0.00000E+000,-4.63047E-003, 2.37236E-008,-1.33450E-002,-6.35838E-021, 6.43019E-005, 0.00000E+000, 8.43290E-005, 8.40666E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.80738E+002
 3.20003E+002, 1.79952E-002, 0.00000E+000,-4.63047E-003, 2.21001E-008,-1.33637E-002,-6.35837E-021, 5.68783E-005, 0.00000E+000, 5.82265E-005, 5.79597E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.81125E+002
 3.21004E+002, 1.79953E-002, 0.00000E+000,-4.63069E-003, 3.41474E-009,-1.33811E-002,-6.35835E-021, 4.99105E-005, 0.00000E+000, 3.36754E-005, 3.34512E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.81465E+002
 3.22001E+002, 1.79953E-002, 0.00000E+000,-4.63035E-003,-3.13983E-009,-1.33990E-002,-6.35831E-021, 4.29167E-005, 0.00000E+000, 8.93573E-006, 8.90234E-006, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.81755E+002
 3.23002E+002, 1.79954E-002, 0.00000E+000,-4.63078E-003,-6.82015E-009,-1.34036E-002,-6.35823E-021, 4.09520E-005, 0.00000E+000, 2.11814E-006, 1.95016E-006, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82034E+002
 3.24004E+002, 1.79954E-002, 0.00000E+000,-4.63015E-003,-1.78628E-008,-1.34173E-002,-6.35812E-021, 3.57597E-005, 0.00000E+000,-1.60865E-005,-1.63591E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82277E+002
 3.25005E+002, 1.79953E-002, 0.00000E+000,-4.62891E-003,-1.63178E-008,-1.34572E-002,-6.35797E-021, 2.04391E-005, 0.00000E+000,-6.99068E-005,-7.03205E-005, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82417E+002
 3.26001E+002, 1.79953E-002, 0.00000E+000,-4.62910E-003, 6.01761E-008,-1.34928E-002,-6.35780E-021, 6.24450E-006, 0.00000E+000,-1.19932E-004,-1.20303E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82459E+002
 3.27003E+002, 1.79953E-002, 0.00000E+000,-4.62918E-003, 2.95184E-008,-1.35079E-002,-6.35763E-021, 1.66920E-007, 0.00000E+000,-1.41555E-004,-1.41580E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82461E+002
 3.28005E+002, 1.79953E-002, 0.00000E+000,-4.62741E-003, 3.57595E-009,-1.35162E-002,-6.35747E-021,-2.40801E-006, 0.00000E+000,-1.50760E-004,-1.50767E-004, 0.00000E+000, 4.28458E-007, 0.00000E+000, 7.00000E-009, 2.82444E+002
