s,C,C,C,C,C,C,C,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T1_gas,T2,T2_gas,T3,T3_gas,T5,T5_gas,T9,T9_gas,T10,T10_gas,T11,T11_gas,HRR,O2_room,p_box
 6.30097E+001, 2.63568E+001, 2.57017E+001, 2.78403E+001, 2.80452E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50560E+001, 2.50392E+001, 2.62968E+001, 2.72367E+001, 2.58359E+001, 2.60049E+001, 1.79991E-002, 2.05656E-001, 3.25884E+002
 6.40124E+001, 2.63548E+001, 2.56873E+001, 2.78572E+001, 2.80941E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50543E+001, 2.50384E+001, 2.63969E+001, 2.72958E+001, 2.58416E+001, 2.59394E+001, 1.80002E-002, 2.05565E-001, 3.27005E+002
 6.50012E+001, 2.63510E+001, 2.56681E+001, 2.78726E+001, 2.80551E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50526E+001, 2.50376E+001, 2.64968E+001, 2.73710E+001, 2.58588E+001, 2.64161E+001, 1.80001E-002, 2.05576E-001, 3.28003E+002
 6.60039E+001, 2.63447E+001, 2.56423E+001, 2.78862E+001, 2.81173E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50511E+001, 2.50370E+001, 2.65652E+001, 2.70010E+001, 2.59669E+001, 2.75690E+001, 1.80000E-002, 2.05585E-001, 3.28922E+002
 6.70067E+001, 2.63348E+001, 2.56067E+001, 2.79061E+001, 2.81617E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50497E+001, 2.50356E+001, 2.65616E+001, 2.61944E+001, 2.61380E+001, 2.75562E+001, 1.79999E-002, 2.05547E-001, 3.29871E+002
 6.80094E+001, 2.63209E+001, 2.55667E+001, 2.79279E+001, 2.82241E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50482E+001, 2.50344E+001, 2.64646E+001, 2.53599E+001, 2.62657E+001, 2.72471E+001, 1.80001E-002, 2.05523E-001, 3.30954E+002
 6.90121E+001, 2.63038E+001, 2.55510E+001, 2.79563E+001, 2.83122E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50469E+001, 2.50342E+001, 2.63346E+001, 2.52608E+001, 2.63494E+001, 2.70576E+001, 1.80003E-002, 2.05483E-001, 3.32138E+002
 7.00009E+001, 2.62859E+001, 2.55680E+001, 2.79888E+001, 2.83516E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50457E+001, 2.50344E+001, 2.62303E+001, 2.55563E+001, 2.64017E+001, 2.69850E+001, 1.79998E-002, 2.05480E-001, 3.33415E+002
 7.10036E+001, 2.62676E+001, 2.55571E+001, 2.80213E+001, 2.83983E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50447E+001, 2.50343E+001, 2.61723E+001, 2.58554E+001, 2.64327E+001, 2.67001E+001, 1.80003E-002, 2.05496E-001, 3.34569E+002
 7.20063E+001, 2.62492E+001, 2.55587E+001, 2.80546E+001, 2.84123E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50000E+001, 2.50437E+001, 2.50341E+001, 2.61526E+001, 2.62763E+001, 2.64424E+001, 2.65737E+001, 1.79996E-002, 2.05544E-001, 3.35547E+002
