s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 1.00003E+002, 2.53643E+001, 2.65007E+001, 4.02229E+001, 2.72203E+001, 2.50183E+001, 2.51210E+001, 2.65645E+001, 1.79991E-002, 2.05107E-001, 2.18093E+002
 1.01004E+002, 2.53658E+001, 2.64929E+001, 4.06596E+001, 2.80234E+001, 2.50181E+001, 2.51656E+001, 2.64408E+001, 1.80002E-002, 2.05059E-001, 2.18766E+002
 1.02004E+002, 2.53672E+001, 2.64887E+001, 4.10812E+001, 2.75718E+001, 2.50178E+001, 2.51817E+001, 2.66640E+001, 1.80026E-002, 2.05008E-001, 2.19315E+002
 1.03004E+002, 2.53701E+001, 2.64999E+001, 4.24476E+001, 2.71606E+001, 2.50176E+001, 2.51445E+001, 2.67366E+001, 1.80021E-002, 2.04975E-001, 2.19840E+002
 1.04004E+002, 2.53753E+001, 2.65159E+001, 4.24292E+001, 2.76820E+001, 2.50173E+001, 2.51388E+001, 2.64196E+001, 1.79990E-002, 2.04962E-001, 2.20283E+002
 1.05005E+002, 2.53821E+001, 2.65151E+001, 4.17797E+001, 2.80754E+001, 2.50171E+001, 2.51387E+001, 2.63308E+001, 1.79967E-002, 2.04961E-001, 2.20698E+002
 1.06005E+002, 2.53882E+001, 2.65206E+001, 4.18312E+001, 2.76924E+001, 2.50168E+001, 2.51584E+001, 2.64051E+001, 1.79994E-002, 2.04961E-001, 2.21018E+002
 1.07005E+002, 2.53910E+001, 2.65159E+001, 4.16662E+001, 2.74353E+001, 2.50167E+001, 2.52051E+001, 2.67413E+001, 1.80005E-002, 2.04953E-001, 2.21413E+002
 1.08005E+002, 2.53906E+001, 2.64896E+001, 4.11918E+001, 2.78010E+001, 2.50166E+001, 2.51772E+001, 2.64310E+001, 1.80015E-002, 2.04935E-001, 2.22016E+002
 1.09005E+002, 2.53896E+001, 2.64701E+001, 4.04157E+001, 2.79037E+001, 2.50166E+001, 2.51457E+001, 2.65908E+001, 1.80020E-002, 2.04916E-001, 2.22718E+002
