s,C,C,C,C,C,C,C,kW,mol/mol,Pa
Time,T1,T2,T3,T5,T9,T10,T11,HRR,O2_room,p_box
 7.90006E+001, 2.52354E+001, 2.57781E+001, 3.60884E+001, 2.68432E+001, 2.50124E+001, 2.50536E+001, 2.54782E+001, 1.80014E-002, 2.05858E-001, 1.35894E+002
 8.00013E+001, 2.52374E+001, 2.57845E+001, 3.60135E+001, 2.68131E+001, 2.50124E+001, 2.50641E+001, 2.55400E+001, 1.80014E-002, 2.05824E-001, 1.36442E+002
 8.10020E+001, 2.52391E+001, 2.57910E+001, 3.59680E+001, 2.67608E+001, 2.50124E+001, 2.50752E+001, 2.55721E+001, 1.80014E-002, 2.05784E-001, 1.36991E+002
 8.20026E+001, 2.52406E+001, 2.57972E+001, 3.59355E+001, 2.67001E+001, 2.50124E+001, 2.50831E+001, 2.55683E+001, 1.80014E-002, 2.05735E-001, 1.37539E+002
 8.30033E+001, 2.52420E+001, 2.58024E+001, 3.59165E+001, 2.66590E+001, 2.50124E+001, 2.50882E+001, 2.56069E+001, 1.80014E-002, 2.05681E-001, 1.38088E+002
 8.40001E+001, 2.52435E+001, 2.58068E+001, 3.59173E+001, 2.66431E+001, 2.50123E+001, 2.50918E+001, 2.56743E+001, 1.80014E-002, 2.05630E-001, 1.38637E+002
 8.50008E+001, 2.52452E+001, 2.58100E+001, 3.59278E+001, 2.66338E+001, 2.50123E+001, 2.50909E+001, 2.57146E+001, 1.80014E-002, 2.05592E-001, 1.39186E+002
 8.60015E+001, 2.52471E+001, 2.58119E+001, 3.59447E+001, 2.66289E+001, 2.50121E+001, 2.50843E+001, 2.57259E+001, 1.80014E-002, 2.05568E-001, 1.39732E+002
 8.70022E+001, 2.52492E+001, 2.58128E+001, 3.59715E+001, 2.66245E+001, 2.50120E+001, 2.50743E+001, 2.57164E+001, 1.80014E-002, 2.05551E-001, 1.40278E+002
 8.80029E+001, 2.52515E+001, 2.58143E+001, 3.60026E+001, 2.66177E+001, 2.50119E+001, 2.50649E+001, 2.56983E+001, 1.80014E-002, 2.05536E-001, 1.40821E+002
 8.90035E+001, 2.52540E+001, 2.58174E+001, 3.60309E+001, 2.66046E+001, 2.50118E+001, 2.50597E+001, 2.56743E+001, 1.80015E-002, 2.05515E-001, 1.41357E+002
 9.00004E+001, 2.52567E+001, 2.58215E+001, 3.60515E+001, 2.65938E+001, 2.50117E+001, 2.50596E+001, 2.56440E+001, 1.80015E-002, 2.05488E-001, 1.41883E+002
